center,sigma,support,input_variable,term_index
0.005050505050505,0.4533803586663771,30667,0,0
0.2777777777777778,0.3509670289168656,2471,0,1
0.4898989898989899,0.2721432863568482,492,0,2
0.7171717171717171,0.23963568449815492,930,0,3
0.8636363636363636,0.18655911332179292,784,0,4
0.9797979797979798,0.1462122888909811,300,0,5
0.0098039215686274,0.4512143133577292,33011,1,0
0.2843137254901961,0.3506962732532846,1394,1,1
0.9705882352941176,0.29764508542038326,316,1,2
0.5,0.36130651081986487,239,1,3
0.0,0.4556817909204512,31273,2,0
0.3397260273972603,0.3826478569507602,2556,2,1
0.5698630136986301,0.5126420079502809,1814,2,2
0.0,0.4556817909204512,33185,3,0
0.2727272727272727,0.3521177450439026,1171,3,1
0.4866310160427808,0.5126420079502809,1287,3,2
0.4529025194905572,0.4554318534814453,22281,4,0
0.9529561347329748,0.4555812491333273,10501,4,1
0.0466340050549534,0.41284508729074665,2862,4,2
0.511363636,0.4556817818068156,16977,5,0
0.8,0.3593672235451685,15115,5,1
0.0,0.4608599837070997,3552,5,2
0.5120481929999999,0.4556817818068156,23424,6,0
0.0,0.461171923860608,3053,6,1
1.0,0.45019163975302323,9167,6,2
0.511363636,0.4556817818068156,16343,7,0
0.8,0.3593672235451685,14440,7,1
0.0,0.4608599837070997,4861,7,2
0.4070351758793969,0.451102065406747,22267,8,0
0.0,0.4110295469061477,9919,8,1
0.7135678391959799,0.3652323829054628,2577,8,2
0.9346733668341708,0.28336995225423833,881,8,3
0.4174757281553398,0.4468335918688193,10579,9,0
0.0097087378640776,0.4092287846323345,23370,9,1
0.7281553398058253,0.36498783494235243,1318,9,2
0.9514563106796116,0.284248101758135,377,9,3
0.3493975903614458,0.45385173449032246,17210,10,0
0.0160642570281124,0.37881979451409975,18382,10,1
0.891566265060241,0.473982254971748,52,10,2
0.352,0.4538590546795884,15388,11,0
0.02,0.378215878899657,20204,11,1
0.892,0.47299768951547466,52,11,2
0.0,0.33952761124420416,22317,12,0
0.2156862745098039,0.26804811150200347,6905,12,1
0.392156862745098,0.21443848783455743,4501,12,2
1.152890141866975e-05,0.3331982896167258,35503,13,0
0.2230058459216126,0.2682135925209188,131,13,1
0.4389808118151319,0.21587297001287137,6856,14,0
0.2592448275534351,0.18983889856960745,28319,14,1
0.6530540481462825,0.20548575877496594,469,14,2
0.0,0.3989309345813753,34141,15,0
0.5993981612381039,0.4726002894153958,223,15,1
0.2539568490618213,0.31518897677322294,1280,15,2
4.627915586819697e-05,0.1084795948544178,33557,16,0
0.0727276934468715,0.08735939379557264,1741,16,1
0.1255090707145501,0.06773120893733986,216,16,2
0.0753889493565529,0.35739175537060575,34816,17,0
0.3048050451373327,0.2832366129858517,660,17,1
0.7415167424290928,0.34061987085071377,56,17,2
0.4926211665279467,0.29801184458670893,112,17,3
0.0252005725889676,0.11874819361442635,35051,18,0
0.10581244382303,0.09610745792593231,537,18,1
0.0575355881221363,0.3904238665324983,34846,19,0
0.3014759889475709,0.30637112976905195,630,19,1
0.8100451190934209,0.38493125228132924,56,19,2
0.5133258717778322,0.32631447941044756,112,19,3
0.0231253103790763,0.32477793076434786,35448,20,0
0.2178612812448269,0.2511265995681593,115,20,1
0.4184075484191359,0.21694858014477447,54,20,2
0.0159555785987857,0.11879232548415038,35453,21,0
0.0092145769198768,0.4072189115518392,35475,22,0
0.2712788085531242,0.3230273517943918,115,22,1
0.5855728429985856,0.3854885794731544,27,22,2
0.0774084186847918,0.3419151432400266,35027,23,0
0.2946898195922943,0.26996874753902506,463,23,1
0.7503642305567101,0.3426269012815487,56,23,2
0.4989173968637986,0.295539346959437,98,23,3
0.0229556516903707,0.12848204338332683,35078,24,0
0.1117750023432035,0.10471438165607061,483,24,1
0.0463505730636285,0.17332355662254048,35053,25,0
0.2091046039145611,0.16082582508566465,481,25,1
0.3840865586323394,0.16014900145266908,110,25,2
0.0009899600897979,0.17546988043508893,35626,26,0
0.006352341509589,0.3770298578237215,35643,27,0
0.0002255640835326,0.05853715257688483,35614,28,0
8.319986688021299e-05,0.07924694506077304,35624,29,0
0.0818843574175911,0.3580822444466223,35066,30,0
0.3096888012969261,0.28284745711375725,466,30,1
0.7433325916271973,0.33902730360403777,56,30,2
0.0252005725889676,0.11874819361442635,35341,31,0
0.1034821398848164,0.0950455808752157,247,31,1
0.0632365722231879,0.390818612830351,35115,32,0
0.3057013731965931,0.3058960989481717,417,32,1
0.8111941595689206,0.3832919030587201,56,32,2
0.0093618189888953,0.4556817818068157,35633,33,0
0.326271186440678,0.372250716135107,8,33,1
0.005754341911163,0.4556817818068157,35634,34,0
0.5002922267679719,0.4531927954459324,9,34,1
0.0135060129509713,0.4556817818068157,35625,35,0
0.3504471168670983,0.381378813499864,11,35,1
0.0,0.09206431777493311,33982,36,0
0.0617197852011995,0.07415674058068307,1376,36,1
0.1100030220610456,0.05908016169403672,206,36,2
0.1553804309923983,0.05021773940263366,49,36,3
0.0,0.22641618208993358,35253,37,0
0.4403451725862931,0.13042580377647597,70,37,1
0.0,0.11308445460871101,34480,38,0
0.0777533479912052,0.09197301145843328,1004,38,1
0.2316324491019674,0.07876778693602021,49,38,2
0.0,0.16986308725556623,35604,39,0
0.1216230936819172,0.14035297166561642,31,39,1
0.0,0.4556817909204512,35612,40,0
0.4491525423728814,0.4325115262717614,30,40,1
0.0,0.1609777888957166,35603,41,0
0.1238017429193899,0.13690309325215522,30,41,1
0.0,0.3486516949920359,35236,42,0
0.2147177419354838,0.2721688107267152,352,42,1
0.6038306451612904,0.31339606642931617,56,42,2
0.0,0.3486516949920359,35374,43,0
0.6038306451612904,0.4494804717926738,112,43,1
0.2127016129032258,0.27125009745694345,158,43,2
0.0,0.38596927952463245,35495,44,0
0.3470149253731343,0.35111301926990524,119,44,1
0.0,0.38596927952463245,35522,45,0
0.3470149253731343,0.35111301926990524,92,45,1
0.0,0.2185412718169043,35365,46,0
0.0,0.3262736716157967,33430,47,0
0.716012084592145,0.4894104983100594,56,47,1
0.2014098690835851,0.2549156438253839,1942,47,2
0.0,0.45568061531483844,34497,48,0
0.3727659826967257,0.3977029748496318,1091,48,1
0.9988584018399724,0.4841503965557502,56,48,2
0.4868035190615836,0.4543454715962385,22984,49,0
0.2052785923753665,0.3554585160135278,12558,49,1
0.8357771260997068,0.3861936508568027,102,49,2
0.352,0.4538590546795884,16744,50,0
0.02,0.378215878899657,18848,50,1
0.892,0.47299768951547466,52,50,2
0.0,0.2455237075887719,32410,51,0
0.1487082884822389,0.19052551165941453,2762,51,1
0.3825618945102261,0.20182558370648956,360,51,2
0.0,0.35268522379973266,35160,52,0
0.2123287671232877,0.27309696283145046,260,52,1
0.589041095890411,0.30820942661692285,53,52,2
0.3972602739726027,0.28909264067690305,168,52,3
0.3493975903614458,0.45385173449032246,17210,53,0
0.0160642570281124,0.37881979451409975,18382,53,1
0.891566265060241,0.473982254971748,52,53,2
0.2122641509433962,0.4556817818068156,31797,54,0
1.0,0.5867977661946258,27,54,1
0.4858490566037736,0.35250854819017813,3820,54,2
0.352,0.4538590546795884,15388,55,0
0.02,0.378215878899657,20204,55,1
0.892,0.47299768951547466,52,55,2
0.2122641509433962,0.4556817818068156,32838,56,0
1.0,0.5867977661946258,27,56,1
0.4858490566037736,0.35250854819017813,2779,56,2
0.1669351587240973,0.4556817818068157,25439,57,0
0.4440331710540104,0.35410940689702963,7653,57,1
0.9814749361036266,0.42195712456372386,2552,57,2
0.661311918789116,0.4521648796484383,28321,58,0
0.9386278577913836,0.35245026103220267,6434,58,1
0.3831224247142856,0.35284832416417444,857,58,2
0.1749460043196544,0.33561012439767635,32206,59,0
0.3758099352051836,0.25933509612547717,3069,59,1
0.5475161987041036,0.20791096416131705,283,59,2
0.1116087546186713,0.4219261235934235,33134,60,0
0.4373663725990589,0.3594048735951587,2146,60,1
0.6602531636690447,0.2812678868935539,326,60,2
0.139414802,0.4556817818068157,35202,61,0
0.5142857142857143,0.39866273616130865,361,61,1
0.3699902783346828,0.4357607791365352,32257,62,0
0.7838480788445988,0.40646784951927584,2364,62,1
0.1043397692791315,0.3389324868725888,1023,62,2
0.4211389743703704,0.40322332196179755,34098,63,0
0.0,0.39351701921028404,138,63,1
0.0617760374901231,0.3334938654624446,32677,64,0
0.273650464480595,0.2632942491415386,2388,64,1
0.4333645765070882,0.20442593571869508,361,64,2
0.5579108979932608,0.15896645755165115,126,64,3
0.6574767179653733,0.12485355902777445,92,64,4
0.2046381013003096,0.43028775058222685,34944,65,0
0.5118973905351614,0.3551563356863464,654,65,1
0.0961405047116719,0.4030726141236801,32643,66,0
0.3518072600416437,0.3180389896793688,2661,66,1
0.8509280092767515,0.3864597271878911,62,66,2
0.6179825181747552,0.35982045815851194,278,66,3
0.1078205995019157,0.3033513777353801,34628,67,0
0.5721583651340998,0.3632659492711593,110,67,1
0.3201970443295019,0.2484517656605214,906,67,2
1.0,0.45568178180681557,33101,68,0
0.0,0.6835226727102234,407,68,1
0.5,0.4556817818068156,2136,68,2
0.3294117647058823,0.4556817818068156,32450,69,0
0.0,0.37794783079271177,3138,69,1
0.8823529411764706,0.47980611143188234,56,69,2
0.0,0.4556817909204512,31816,70,0
1.0,0.6835226772670412,1274,70,1
0.4,0.41011360818295184,2554,70,2
0.0,0.4556817909204512,22886,71,0
1.0,0.6835226772670412,12758,71,1
0.8590571101957182,0.45561781116262623,33536,72,0
