center,sigma,support,input_variable,term_index
0.0263157894736842,0.690369090067955,11917,0,0
0.8157894736842105,0.8974798170883413,788,0,1
0.0465116279069767,0.6833048482160968,12064,1,0
0.7441860465116279,0.8297273156909747,641,1,1
0.0,0.6995740252603411,12470,2,0
0.8787128712871287,0.9645117007500855,235,2,1
0.0,0.6962741478486955,12524,3,0
0.8867924528301887,0.9685140273137149,181,3,1
0.4858780858780858,0.6993086441711773,9983,4,0
1.0,0.709320651829081,1981,4,1
0.067617341098004,0.6422586690676917,741,4,2
0.5422885572139303,0.6995740112688609,8689,5,0
0.0,0.7291579868697828,1600,5,1
1.0,0.6699900356679389,2416,5,2
0.6049382716049383,0.6995740112688609,11832,6,0
0.0833333333333333,0.7146882645987438,873,6,1
0.5833333333333334,0.6995740112688609,10650,7,0
0.0,0.7578718455412661,2055,7,1
0.1032258064516129,0.6973173209099293,4640,8,0
0.6419354838709678,0.7255259503965767,8065,8,1
0.1183431952662721,0.6954345200779211,7367,9,0
0.5384615384615384,0.641621134595701,5040,9,1
0.9585798816568049,0.614714441854591,298,9,2
0.5447154471544715,0.6976781467396771,8153,10,0
0.02710027100271,0.7109491984439644,4534,10,1
0.975609756097561,0.6502815335100794,18,10,2
0.1300813008130081,0.6976781467396771,6087,11,0
0.5474254742547425,0.64080221086416,6609,11,1
0.975609756097561,0.619947701043137,9,11,2
0.0,0.6662609771046811,9806,12,0
0.4285714285714285,0.632947921953281,2885,12,1
1.7994097935877033e-05,0.6995740112688609,12695,13,0
0.8613234858966259,0.952333943459939,10,13,1
0.3263944329921475,0.6993572777834876,12551,14,0
0.995626943746053,0.8178563109113846,154,14,1
0.2376245545243547,0.699574011268861,12607,15,0
0.6692558886675967,0.6517450694503484,98,15,1
0.0,0.6994888844070427,12686,16,0
0.9966734279918864,1.0469912701488915,19,16,1
0.0241574457302137,0.6995666249396602,12580,17,0
0.6719317509924825,0.802949381599055,125,17,1
0.0061086949304471,0.699574011268861,12663,18,0
0.8487766010424621,0.9392955728807448,42,18,1
0.0410710653327662,0.699574011268861,12518,19,0
0.7663886680104296,0.8572003503835575,187,19,1
0.0157588110920125,0.6995633699033316,12643,20,0
0.7959416498075782,0.895577322955041,62,20,1
0.0031222346517957,0.699574011268861,12687,21,0
0.8442722855759438,0.9382337208384435,18,21,1
0.0191418844272089,0.699574011268861,12652,22,0
0.5644263071269137,0.7312538165048881,53,22,1
0.02702159667897,0.699574011268861,12580,23,0
0.6883291964309272,0.8124206158754896,125,23,1
0.0084385121049486,0.699574011268861,12649,24,0
0.8338867264438933,0.9272491240342444,56,24,1
0.0299824696699246,0.6995600849257463,12601,25,0
0.5234504783586612,0.6949974367341099,90,25,1
1.0,0.6808803787899431,14,25,2
0.0056762856075644,0.699574011268861,12673,26,0
0.0040452986452599,0.6995740112688609,12677,27,0
0.8140048564022484,0.9164136624200395,28,27,1
0.0048696966436539,0.699574011268861,12680,28,0
0.0004070501078682,0.699574011268861,12704,29,0
0.0133033187950413,0.6992896715997557,12616,30,0
0.9953571261079586,1.0366641570636324,89,30,1
0.0012449785863683,0.699574011268861,12677,31,0
0.8480296138906411,0.9421755296350802,28,31,1
0.0247907481950035,0.6995740112688611,11595,32,0
0.502204331991566,0.6837731414852343,1077,32,1
0.997667880646604,0.6884999929127266,33,32,2
0.0034357040428504,0.699574011268861,12703,33,0
1.0,1.046957487644502,2,33,1
0.0090229492591672,0.699574011268861,12658,34,0
0.8697162080485028,0.9519056411577538,47,34,1
0.0050273916673268,0.699574011268861,12700,35,0
1.0,1.04584398434836,5,35,1
0.0,0.6994888463961907,12686,36,0
0.997037217419538,1.047245748772625,19,36,1
0.0,0.6995740252603411,12692,37,0
0.7309528752335479,0.8611426476058109,13,37,1
0.0,0.6994886974820925,12686,38,0
0.998780289477964,1.0484650822274197,19,38,1
0.0,0.6995740252603411,12703,39,0
1.0,1.0493610238990314,2,39,1
0.0,0.6995740252603411,12698,40,0
0.4454855195911414,0.6614371045327381,6,40,1
0.0,0.6995740252603411,12703,41,0
1.0,1.0493610238990314,2,41,1
0.1377613776137761,0.6984266984172517,12607,42,0
0.7818778187781877,0.7998204716782366,98,42,1
0.0328031809145129,0.6981832080655431,12607,43,0
0.9478131212723658,0.9892087783597958,98,43,1
0.0,0.6958379824765288,12605,44,0
0.6461949265687583,0.7999801680795577,100,44,1
0.0,0.6949410847883619,12602,45,0
0.8013245033112583,0.9080563395036655,103,45,1
0.0,0.6729235867358133,12597,46,0
0.4952380952380952,0.6829174941867711,86,46,1
0.0122015219102597,0.699574011268861,12461,47,0
0.4389923904487011,0.6483588055107891,222,47,1
1.0,0.7166457465215517,22,47,2
0.0001166943382448,0.6995740112688611,12561,48,0
0.5043332882731433,0.7025238308017898,136,48,1
0.999945696694084,0.6979794759945533,8,48,2
0.0239043824701195,0.6981804375412337,7543,49,0
0.701195219123506,0.8229052861638693,5162,49,1
0.659016393442623,0.6972803259860123,7440,50,0
0.0,0.8096709048455998,5265,50,1
0.090761154855643,0.699574011268861,12587,51,0
0.656010498687664,0.7452207564660891,118,51,1
0.1007957559681697,0.6977183772867155,12590,52,0
0.6445623342175066,0.7292641549831893,115,52,1
0.0,1.399148022537722e-08,12705,53,0
0.0,1.399148022537722e-08,12705,54,0
0.5447154471544715,0.6976781467396771,8153,55,0
0.02710027100271,0.7109491984439644,4534,55,1
0.975609756097561,0.6502815335100794,18,55,2
0.4844444444444444,0.6964647934409995,6801,56,0
0.0311111111111111,0.6653726151623833,4718,56,1
0.9022222222222224,0.6404988725394907,1186,56,2
0.1300813008130081,0.6976781467396771,6087,57,0
0.5474254742547425,0.64080221086416,6609,57,1
0.975609756097561,0.619947701043137,9,57,2
