center,sigma,support,input_variable,term_index
0.0,0.4556817909204512,20735,0,0
0.4452830188679245,0.4307482549062793,1093,0,1
0.7471698113207547,0.3529384389419896,112,0,2
0.981132075471698,0.28308156087485353,68,0,3
0.0,0.4556817909204512,20504,1,0
0.4253731343283582,0.4216756832437218,1335,1,1
0.7611940298507462,0.36386530566146313,100,1,2
0.9850746268656716,0.2839509621904664,69,1,3
0.0,0.4081938890470137,19715,2,0
0.541019955654102,0.45062988190901243,440,2,1
0.2616407982261641,0.3233218896525628,1725,2,2
0.835920177383592,0.35969559944742524,128,2,3
0.0,0.4058704220589775,19645,3,0
0.5020242914979757,0.4316985346895905,566,3,1
0.7732793522267206,0.3394552567417857,145,3,2
0.242914979757085,0.3136271418327638,1652,3,3
0.0,0.4556817909204512,2603,4,0
1.0,0.6835226772670412,7617,4,1
0.532258065,0.4703811989004735,11788,4,2
0.0,0.4556817909204512,2574,5,0
1.0,0.6835226772670412,7336,5,1
0.545454545,0.4763945944204515,12098,5,2
0.0,0.4556817909204512,3706,6,0
1.0,0.6835226772670412,7251,6,1
0.532258065,0.4703811989004735,11051,6,2
0.0,0.4556817909204512,3708,7,0
1.0,0.6835226772670412,7017,7,1
0.545454545,0.4763945944204515,11283,7,2
0.0,0.39538801826407877,12475,8,0
0.272264631043257,0.321760041328806,6567,8,1
0.4758269720101781,0.25363967090497613,2390,8,2
0.6615776081424937,0.21146301629701109,467,8,3
0.8015267175572519,0.16950376768889958,109,8,4
0.0,0.3953709668577845,11986,9,0
0.2549019607843137,0.31383966310513933,6882,9,1
0.4705882352941176,0.25520413743247106,2535,9,2
0.6470588235294118,0.20801650079979128,487,9,3
0.7892156862745098,0.1687865429116488,118,9,4
0.0,0.41931815745955825,7333,10,0
0.286783042394015,0.3403408864798634,8751,10,1
0.4912718204488778,0.26335225398347006,5871,10,2
0.6982543640897756,0.22599430128092632,48,10,3
0.8403990024937655,0.1777698727426788,5,10,4
0.0,0.41931815745955825,9444,11,0
0.286783042394015,0.3403408864798634,8482,11,1
0.4962593516209477,0.2656249810747759,4044,11,2
0.6558603491271819,0.2055397574591739,35,11,3
0.8079800498753117,0.17208805501441432,2,11,4
0.0219184951072752,0.4556817818068157,21914,12,0
0.3616042666990822,0.38262950855678546,80,12,1
0.6081793593873458,0.3036745318637614,7,12,2
0.8781893879535647,0.2748759168546445,7,12,3
0.260946487869495,0.4517169228114361,20750,13,0
0.5680832531891342,0.36581508988495304,1207,13,1
0.8425484040719302,0.3079763139406255,51,13,2
0.0,0.4556817909204512,21456,14,0
0.3472977843509494,0.3860981686508254,471,14,1
0.5993981612381039,0.307926633259521,35,14,2
0.8754594574440651,0.279759419972792,46,14,3
0.0,0.4500611700714848,21756,15,0
0.3778553104155977,0.39721236615108935,211,15,1
0.6365828630066701,0.31650361524276116,39,15,2
0.9048537711647,0.28049797305776425,2,15,3
0.0,0.45552299833764026,21963,16,0
0.6702122363639381,0.5331650052238701,13,16,1
0.9952375421070973,0.4146906130652828,7,16,2
0.2829762872741151,0.35670863796296626,25,16,3
0.0,0.4509301106165248,21149,17,0
0.2804139162600848,0.35324456831308504,755,17,1
0.5449153353104372,0.2971507620798383,59,17,2
0.7314327625243152,0.23356797461076212,26,17,3
0.906055677795848,0.1963564684806137,19,17,4
0.0,0.4517580019016961,21846,18,0
0.2969899867294004,0.36121192728248375,118,18,1
0.6460670768488358,0.33967403405480456,24,18,2
0.9097448425624322,0.2899901711306139,20,18,3
0.0,0.4556361459064971,21973,19,0
0.6709627873587205,0.5335635914229379,8,19,1
0.99754586887928,0.41559975620671796,7,19,2
0.3001051770480309,0.36457053475994516,20,19,3
0.0,0.4554144148282832,21912,20,0
0.3501715830088369,0.3872740182977217,71,20,1
0.7601038388364361,0.38043566990446864,22,20,2
0.9982397183549367,0.2987320168433579,3,20,3
0.0,0.4556817909204512,21904,21,0
0.3334887202610501,0.3798056297212556,96,21,1
1.0,0.4936198624064134,2,21,2
0.5773897811925245,0.39599549232076864,6,21,3
0.0,0.4556817909204512,21977,22,0
0.452073956375507,0.43384276140987327,25,22,1
0.94009298644772,0.43930276188387657,6,22,2
0.0,0.4556817909204512,21925,23,0
0.3231548974549497,0.37509669493209585,75,23,1
0.6990813462997935,0.3588511815039751,7,23,2
0.0,0.4556817909204512,21958,24,0
0.2937704030347709,0.3617067161572164,46,24,1
1.0,0.502669319188433,1,24,2
0.5455971650862335,0.3860329047561637,3,24,3
0.0,0.4556817909204512,21984,25,0
0.4424947776783051,0.4294777041928864,20,25,1
1.0,0.468783825170598,4,25,2
0.0,0.4556817909204512,21967,26,0
0.390447838600982,0.40576086225654107,36,26,1
1.0,0.4806422461387707,4,26,2
0.0,0.4556817909204512,22005,27,0
0.4374515578980003,0.42717960081735373,2,27,1
0.0,0.44775351726336354,21404,28,0
0.2909989695186607,0.3564796875658923,542,28,1
0.533759464747084,0.28886137880093904,27,28,2
0.7384966920055557,0.23772571391979683,6,28,3
0.9040009558087784,0.19428013478637618,29,28,4
0.0,0.45552299833764026,21993,29,0
0.6694655095166189,0.5328247354035607,8,29,1
0.9952375421070973,0.41486074797543754,7,29,2
0.0,0.4509301106165248,21483,30,0
0.2804139162600848,0.35324456831308504,479,30,1
0.5247775758155554,0.28797435195161347,22,30,2
0.7440926049937817,0.24392503924875467,6,30,3
0.906055677795848,0.19576614122572988,18,30,4
0.0,0.4556817909204512,21995,31,0
0.4696408521833608,0.4418476757924108,12,31,1
0.0,0.4556817909204512,21955,32,0
0.6019215530903328,0.5021255812803542,10,32,1
0.2759802194928684,0.35360005362217195,41,32,2
1.0,0.43245988662686413,2,32,3
0.0,0.4556817909204512,21991,33,0
0.3741913462013588,0.39835307483395177,16,33,1
1.0,0.4843461398500653,1,33,2
0.0,0.4092076180336737,21854,34,0
0.2978645066273932,0.34033523813381544,123,34,1
0.5427098674521355,0.28173918935465897,25,34,2
0.7407952871870398,0.23113351169208166,4,34,3
0.8906480117820325,0.18385191239809312,2,34,4
0.0,0.40001385946063084,21829,35,0
0.269197207678883,0.3226751929828482,146,35,1
0.6431064572425829,0.33172122956666017,30,35,2
0.8778359511343804,0.2728225688025564,3,35,3
0.0,0.4556817909204512,21864,36,0
0.2963951935914553,0.362902785394956,120,36,1
0.5767690253671562,0.30921263993303383,20,36,2
0.8024032042723631,0.2574237046465594,2,36,3
0.973297730307076,0.2065853744478089,2,36,4
0.0,0.4468048730930458,21875,37,0
0.3198051948051948,0.36913183754642986,102,37,1
0.6038961038961039,0.31402097042287846,24,37,2
0.8441558441558441,0.26649247174944035,7,37,3
0.0,0.4556817909204512,21906,38,0
0.3914120561519405,0.4062002386282112,99,38,1
1.0,0.4804225579529356,2,38,2
0.6690522066244611,0.43116573743958897,1,38,3
0.0321763936897454,0.45568178180681557,21488,39,0
0.3453787461125642,0.37056149692152407,418,39,1
0.8972352657658514,0.4367517106380799,15,39,2
0.5829336398923316,0.38617055996563626,87,39,3
0.0,0.4121662333785391,13467,40,0
0.2990990990990991,0.34237712710356033,4586,40,1
0.5117117117117117,0.26807225770169774,2766,40,2
0.6774774774774774,0.20957256835756424,1182,40,3
0.8144144144144144,0.1671859515973731,7,40,4
0.0,0.42269678258590965,8177,41,0
0.3083109919571045,0.351840093458595,8565,41,1
0.5281501340482574,0.2760967387082758,5239,41,2
0.7506702412868632,0.23944672830846947,25,41,3
0.903485254691689,0.1893583817493782,2,41,4
0.0,0.4194403813314477,21608,42,0
0.343448009277155,0.3662231914911416,362,42,1
0.6102628527251642,0.3046942590204662,23,42,2
0.8776091998453808,0.2741719893255168,15,42,3
0.0,0.4273433716538583,21850,43,0
0.3159203980099502,0.3576308557012216,132,43,1
0.554726368159204,0.28763495783432796,21,43,2
0.7437810945273632,0.22996627348760676,3,43,3
0.9253731343283582,0.197731321002255,2,43,4
1.0,0.45568178180681557,5502,44,0
0.0,0.6835226727102234,16506,44,1
1.0,0.45568178180681557,6809,45,0
0.0,0.6835226727102234,15199,45,1
0.0,0.41931815745955825,7333,46,0
0.286783042394015,0.3403408864798634,8751,46,1
0.4912718204488778,0.26335225398347006,5871,46,2
0.6982543640897756,0.22599430128092632,48,46,3
0.8403990024937655,0.1777698727426788,5,46,4
0.0,0.4556817909204512,9729,47,0
0.3068592057761733,0.36767104511213655,9654,47,1
0.5379061371841155,0.28911939994103647,2448,47,2
0.7653429602888087,0.24819851677134636,175,47,3
0.9711191335740073,0.21786771168166053,2,47,4
0.0,0.41931815745955825,9444,48,0
0.286783042394015,0.3403408864798634,8482,48,1
0.4962593516209477,0.2656249810747759,4044,48,2
0.6558603491271819,0.2055397574591739,35,48,3
0.8079800498753117,0.17208805501441432,2,48,4
0.0,0.4236710872398072,9969,49,0
0.2603305785123967,0.33046344549523166,7321,49,1
0.4586776859504133,0.2556148860811991,3603,49,2
0.6157024793388429,0.19936078067968624,768,49,3
0.8760330578512396,0.21830829221517117,24,49,4
0.7355371900826446,0.35064666291791224,323,49,5
1.0,0.45568178180681557,10477,50,0
0.0,0.6835226727102234,11531,50,1
0.2,0.4556817818068157,12838,51,0
0.6,0.4101136036261341,5503,51,1
0.9,0.34176133635511174,3667,51,2
0.0,0.4556817909204512,1834,52,0
0.888888888,0.6328913677723446,20174,52,1
0.0,0.33931788791757755,16379,53,0
0.2043707001214083,0.2627869487392185,5410,53,1
0.3804127883447997,0.21161264680423686,173,53,2
0.5123431808984217,0.16592459975542553,29,53,3
0.73573452043707,0.11672120132581743,3,53,4
0.0,0.4556817909204512,19652,54,0
0.292181069925926,0.3609824860142934,2304,54,1
0.5925925925925926,0.3173833009311919,46,54,2
0.7901234567901234,0.24870286662496693,4,54,3
0.0,0.4017273846972828,19697,55,0
0.2575857519498681,0.3182408267652057,2253,55,1
0.5224274406332454,0.27980394597857017,52,55,2
0.7800131926121373,0.257279107419075,6,55,3
0.0,0.4556817909204512,2010,56,0
0.3132304770976744,0.3705743173802928,19671,56,1
0.6032154963348838,0.3174280489534417,318,56,2
0.8392734853953489,0.2662813495415273,8,56,3
0.0,0.4556817909204512,2862,57,0
0.3132304770976744,0.3705743173802928,18753,57,1
0.6032154963348838,0.3174280489534417,380,57,2
0.8240041058232559,0.25932337145103146,12,57,3
0.0,0.4556817909204512,19253,58,0
0.3211946049942196,0.3742034253707279,2718,58,1
0.6144783925130746,0.4142966478996893,35,58,2
0.0,0.4556817909204512,16277,59,0
0.286070982721598,0.3581982305900301,5634,59,1
0.5240906491885143,0.2875603410157235,84,59,2
0.7232625884311278,0.3959788375692931,12,59,3
0.0,0.4556817909204512,16349,60,0
0.3122832369942197,0.3701426773221517,5491,60,1
0.5362223528323701,0.2871163139824471,160,60,2
0.7271676300578035,0.3948831889710551,4,60,3
0.0,0.4556817909204512,20247,61,0
0.3870748299183673,0.4042238436499973,1756,61,1
0.8173469387755102,0.39817908305079763,5,61,2
0.0,0.4101136127397697,4586,62,0
0.4,0.38732951909261115,3219,62,1
0.7,0.33036929408835025,12357,62,2
0.9,0.25632100340553826,1846,62,3
0.0,0.4101136127397697,9086,63,0
0.2545454545454545,0.3210485326479834,5759,63,1
0.4636363636363636,0.2558031843381441,6542,63,2
0.6818181818181818,0.2273230718360136,615,63,3
0.8272727272727273,0.17994252236263455,6,63,4
0.0227272727272727,0.4556817818068157,9170,64,0
0.4090909090909091,0.40389976114695025,11004,64,1
1.0,0.4712163880047752,1834,64,2
