feat,min_val,max_val
ntellsSinceElicit,0.0,198.0
ntellsSinceElicitKC,0.0,102.0
nElicitSinceTell,0.0,245.0
nElicitSinceTellKC,0.0,128.0
pctElicit,0.10810810810810813,1.0
pctElicitKC,0.0,1.0
pctElicitSession,0.0,1.0
pctElicitKCSession,0.0,1.0
nTellSession,0.0,199.0
nTellKCSession,0.0,103.0
kcOrdering,2.0,189.0
kcOrderingSession,1.0,189.0
kcOrderingPb,1.0,52.0
durationKCBetweenDecision,-11.0,1301067.0
timeInSession,-27278.0,77943.0
timeBetweenSession,0.0,1287388.0
timeOnCurrentProblem,0.0,43216.0
timeOnTutoring,604.0,62918.0
timeOnTutoringWE,0.0,60078.0
timeOnTutoringPS,380.0,57530.0
timeOnTutoringKC,0.0,60410.0
timeOnTutoringKCWE,0.0,59791.0
timeOnTutoringKCPS,0.0,48076.0
avgTimeOnStep,3.3423423423423424,374.7409638554217
avgTimeOnStepWE,-1.0,856.8
avgTimeOnStepPS,5.399014778325123,812.3142857142857
avgTimeOnStepKC,0.0,16036.0
avgTimeOnStepKCWE,-1.0,3649.0
avgTimeOnStepKCPS,-1.0,48076.0
timeOnLastStepKCPS,-1.0,48076.0
timeOnTutoringSession,0.0,62918.0
timeOnTutoringSessionWE,0.0,60078.0
timeOnTutoringSessionPS,0.0,57530.0
avgTimeOnStepSession,-1.0,790.0
avgTimeOnStepSessionWE,-1.0,938.0
avgTimeOnStepSessionPS,-1.0,812.3142857142857
timeOnTutoringProblem,0.0,43017.0
timeOnTutoringProblemWE,0.0,7996.0
timeOnTutoringProblemPS,0.0,35021.0
avgTimeOnStepProblem,-1.0,9179.0
avgTimeOnStepProblemWE,-1.0,3036.0
avgTimeOnStepProblemPS,-1.0,9179.0
nTotalHint,0.0,992.0
nTotalHintSession,0.0,992.0
nHintKC,0.0,268.0
nHintSessionKC,0.0,268.0
nTotalHintProblem,0.0,392.0
AvgTimeOnStepWithHint,-1.0,4964.0
durationSinceLastHint,-1.0,597639.0
stepsSinceLastHint,0.0,282.0
stepsSinceLastHintKC,0.0,180.0
totalTimeStepsHint,0.0,18580.0
totalStepsHint,0.0,146.0
earlyTraining,0.0,0.0
