feat,min_val,max_val
ntellsSinceElicit,0.0,76.0
ntellsSinceElicitKC,0.0,43.0
nElicitSinceTell,0.0,404.0
nElicitSinceTellKC,0.0,212.0
pctElicit,0.106382979,1.0
pctElicitKC,0.0,1.0
pctElicitSession,0.0,1.0
pctElicitKCSession,0.0,1.0
nTellSession,0.0,336.0
nTellKCSession,0.0,175.0
kcOrdering,1.0,370.0
kcOrderingSession,1.0,370.0
kcOrderingPb,1.0,22.0
durationKCBetweenDecision,-14.0,1000314.0
timeInSession,-17825.0,89583.0
timeBetweenSession,0.0,1287388.0
timeOnCurrentProblem,0.0,53053.0
timeOnTutoring,818.0,96248.0
timeOnTutoringWE,0.0,60242.0
timeOnTutoringPS,601.0,56826.0
timeOnTutoringKC,0.0,65741.0
timeOnTutoringKCWE,0.0,59893.0
timeOnTutoringKCPS,0.0,47073.0
avgTimeOnStep,2.207446809,256.608
avgTimeOnStepWE,-1.0,369.5828220858896
avgTimeOnStepPS,4.26161369193154,405.8387096774193
avgTimeOnStepKC,-1.0,22130.0
avgTimeOnStepKCWE,-1.0,748.6625
avgTimeOnStepKCPS,-1.0,22130.0
timeOnLastStepKCPS,-1.0,24566.0
timeOnTutoringSession,0.0,63969.0
timeOnTutoringSessionWE,0.0,60242.0
timeOnTutoringSessionPS,0.0,56826.0
avgTimeOnStepSession,-1.0,3348.0
avgTimeOnStepSessionWE,-1.0,369.5828220858896
avgTimeOnStepSessionPS,-1.0,3348.0
timeOnTutoringProblem,0.0,24639.0
timeOnTutoringProblemWE,0.0,9707.0
timeOnTutoringProblemPS,0.0,24596.0
avgTimeOnStepProblem,-1.0,24566.0
avgTimeOnStepProblemWE,-1.0,9665.0
avgTimeOnStepProblemPS,-1.0,24566.0
nTotalHint,0.0,2439.0
nTotalHintSession,0.0,2012.0
nHintKC,0.0,749.0
nHintSessionKC,0.0,604.0
nTotalHintProblem,0.0,105.0
AvgTimeOnStepWithHint,-1.0,3810.0
durationSinceLastHint,-9.0,865500.0
stepsSinceLastHint,0.0,502.0
stepsSinceLastHintKC,0.0,346.0
totalTimeStepsHint,0.0,19050.0
totalStepsHint,0.0,377.0
earlyTraining,0.0,0.0
simpleProblem,0.0,0.0
nKCs,0.0,369.0
nKCsAsPS,0.0,277.0
nKCsSession,0.0,369.0
nKCsSessionPS,0.0,225.0
newLevelDifficulty,0.0,0.0
performanceDifficulty,0.093988,0.513441
nPrincipleInProblem,2.0,2.0
quantitativeDegree,0.2874493927125506,0.346938776
nTutorConceptsSession,0.0,1840.0
tutAverageConcepts,0.674863388,5.537128712871287
tutAverageConceptsSession,0.0,9.75
tutConceptsToWords,0.026017131,0.06837410299999999
tutConceptsToWordsSession,0.0,0.13164557
tutAverageWords,21.56473829,129.68564356435644
tutAverageWordsSession,0.0,130.5276073619632
tutAverageWordsPS,18.53170732,139.6950354609929
tutAverageWordsSessionPS,0.0,245.0
nDistinctPrincipleInSession,0.0,9.0
nPrincipleInSession,0.0,99.0
principleDifficulty,1.0,12.0
principleCategory,0.0,2.0
problemDifficuly,14.0,14.0
problemCompexity,2.0,2.0
problemCategory,1.0,1.0
pctCorrect,0.14218009478672985,0.987538941
pctOverallCorrect,0.1905940594059406,0.992021277
nCorrectKC,0.0,248.0
nIncorrectKC,0.0,190.0
pctCorrectKC,-1.0,1.0
pctOverallCorrectKC,-1.0,1.0
nCorrectKCSession,0.0,206.0
nIncorrectKCSession,0.0,153.0
