feat,min_val,max_val
ntellsSinceElicit,0.0,18.0
ntellsSinceElicitKC,0.0,11.0
nElicitSinceTell,0.0,65.0
nElicitSinceTellKC,0.0,38.0
pctElicit,0.5714285714285714,1.0
pctElicitKC,0.0,1.0
pctElicitSession,0.0,1.0
pctElicitKCSession,0.0,1.0
nTellSession,0.0,20.0
nTellKCSession,0.0,11.0
kcOrdering,1.0,50.0
kcOrderingSession,1.0,50.0
kcOrderingPb,1.0,27.0
durationKCBetweenDecision,-16.0,242010.0
timeInSession,0.0,71383.0
timeBetweenSession,0.0,240990.0
timeOnCurrentProblem,0.0,13756.0
timeOnTutoring,77.0,19075.0
timeOnTutoringWE,0.0,2169.0
timeOnTutoringPS,77.0,18931.0
timeOnTutoringKC,0.0,5852.0
timeOnTutoringKCWE,0.0,2154.0
timeOnTutoringKCPS,0.0,5834.0
avgTimeOnStep,2.738095238095238,400.57142857142856
avgTimeOnStepWE,-1.0,2145.0
avgTimeOnStepPS,3.208333333333333,482.0689655172413
avgTimeOnStepKC,-1.0,608.0
avgTimeOnStepKCWE,-1.0,2145.0
avgTimeOnStepKCPS,-1.0,608.0
timeOnLastStepKCPS,-1.0,5663.0
timeOnTutoringSession,0.0,19075.0
timeOnTutoringSessionWE,0.0,2169.0
timeOnTutoringSessionPS,0.0,18931.0
avgTimeOnStepSession,-1.0,2145.0
avgTimeOnStepSessionWE,-1.0,2145.0
avgTimeOnStepSessionPS,-1.0,1994.0
timeOnTutoringProblem,0.0,13717.0
timeOnTutoringProblemWE,0.0,2169.0
timeOnTutoringProblemPS,0.0,13664.0
avgTimeOnStepProblem,-1.0,5663.0
avgTimeOnStepProblemWE,-1.0,2145.0
avgTimeOnStepProblemPS,-1.0,5663.0
nTotalHint,0.0,245.0
nTotalHintSession,0.0,245.0
nHintKC,0.0,73.0
nHintSessionKC,0.0,73.0
nTotalHintProblem,0.0,128.0
AvgTimeOnStepWithHint,-1.0,9081.5
durationSinceLastHint,-1.0,241787.0
stepsSinceLastHint,0.0,65.0
stepsSinceLastHintKC,0.0,43.0
totalTimeStepsHint,0.0,18163.0
totalStepsHint,0.0,33.0
earlyTraining,1.0,1.0
simpleProblem,1.0,1.0
nKCs,0.0,49.0
nKCsAsPS,0.0,44.0
nKCsSession,0.0,49.0
nKCsSessionPS,0.0,44.0
newLevelDifficulty,0.0,0.0
performanceDifficulty,0.093988,0.5525909999999999
nPrincipleInProblem,3.0,3.0
quantitativeDegree,0.2545454545454545,0.39130434782608703
nTutorConceptsSession,0.0,338.0
tutAverageConcepts,0.3684210526315789,8.958333333333334
tutAverageConceptsSession,0.0,8.958333333333334
tutConceptsToWords,0.011263073209975863,0.1244212962962963
tutConceptsToWordsSession,0.0,0.1244212962962963
tutAverageWords,19.5,216.25
tutAverageWordsSession,0.0,200.25
tutAverageWordsPS,19.48275862068965,216.25
tutAverageWordsSessionPS,0.0,200.25
nDistinctPrincipleInSession,0.0,4.0
nPrincipleInSession,0.0,13.0
principleDifficulty,1.0,4.0
principleCategory,0.0,1.0
problemDifficuly,8.0,8.0
problemCompexity,3.0,3.0
problemCategory,0.0,0.0
pctCorrect,0.06451612903225806,1.0
pctOverallCorrect,0.08333333333333333,1.0
nCorrectKC,0.0,35.0
nIncorrectKC,0.0,23.0
pctCorrectKC,-1.0,1.0
pctOverallCorrectKC,-1.0,1.0
nCorrectKCSession,0.0,35.0
nIncorrectKCSession,0.0,23.0
pctCorrectSession,-1.0,1.0
pctCorrectKCSession,-1.0,1.0
pctOverallCorrectSession,-1.0,1.0
pctOverallCorrectKCSession,-1.0,1.0
nStepSinceLastWrong,0.0,46.0
nStepSinceLastWrongKC,0.0,33.0
nWEStepSinceLastWrong,0.0,18.0
nWEStepSinceLastWrongKC,0.0,11.0
nStepSinceLastWrongSession,0.0,46.0
nStepSinceLastWrongKCSession,0.0,33.0
nWEStepSinceLastWrongSession,0.0,18.0
nWEStepSinceLastWrongKCSession,0.0,11.0
timeSinceLastWrongStepKC,0.0,242478.0
nCorrectPSStepSinceLastWrong,0.0,46.0
nCorrectPSStepSinceLastWrongKC,0.0,33.0
nCorrectPSStepSinceLastWrongKCSession,0.0,33.0
