feat,min_val,max_val
ntellsSinceElicit,0.0,265.0
ntellsSinceElicitKC,0.0,134.0
nElicitSinceTell,0.0,451.0
nElicitSinceTellKC,0.0,247.0
pctElicit,0.0,1.0
pctElicitKC,0.0,1.0
pctElicitSession,0.0,1.0
pctElicitKCSession,0.0,1.0
nTellSession,0.0,393.0
nTellKCSession,0.0,204.0
kcOrdering,1.0,402.0
kcOrderingSession,1.0,402.0
durationKCBetweenDecision,-28851.0,1287389.0
timeInSession,-28677.0,81541.0
timeBetweenSession,0.0,1287388.0
timeOnTutoring,0.0,97450.0
timeOnTutoringWE,0.0,60263.0
timeOnTutoringPS,0.0,62718.0
timeOnTutoringKC,0.0,66312.0
timeOnTutoringKCWE,0.0,59899.0
timeOnTutoringKCPS,0.0,56241.0
avgTimeOnStep,-1.0,841.75
avgTimeOnStepWE,-1.0,859.3404255319148
avgTimeOnStepPS,-1.0,1204.5106382978724
avgTimeOnStepKC,-1.0,1514.923077
avgTimeOnStepKCWE,-1.0,1826.818181818181
avgTimeOnStepKCPS,-1.0,1514.923077
timeOnLastStepKCPS,-1.0,6450.0
timeOnTutoringSession,0.0,66959.0
timeOnTutoringSessionWE,0.0,60263.0
timeOnTutoringSessionPS,0.0,62718.0
avgTimeOnStepSession,-1.0,1704.411764705883
avgTimeOnStepSessionWE,-1.0,1008.6
avgTimeOnStepSessionPS,-1.0,3237.0
nTotalHint,0.0,2716.0
nTotalHintSession,0.0,2292.0
nHintKC,0.0,749.0
nHintSessionKC,0.0,616.0
AvgTimeOnStepWithHint,-1.0,9081.5
durationSinceLastHint,-28774.0,865453.0
stepsSinceLastHint,0.0,555.0
stepsSinceLastHintKC,0.0,373.0
totalTimeStepsHint,0.0,20696.0
totalStepsHint,0.0,402.0
earlyTraining,0.0,1.0
simpleProblem,0.0,1.0
nKCs,0.0,401.0
nKCsAsPS,0.0,277.0
nKCsSession,0.0,401.0
nKCsSessionPS,0.0,242.0
newLevelDifficulty,0.0,1.0
nPrincipleInProblem,2.0,12.0
quantitativeDegree,0.0,0.375
nTutorConceptsSession,0.0,2471.0
tutAverageConcepts,0.0,10.125
tutAverageConceptsSession,0.0,11.484848484848484
tutConceptsToWords,0.0,0.1244212962962963
tutConceptsToWordsSession,0.0,0.1244212962962963
tutAverageWords,0.0,216.25
tutAverageWordsSession,0.0,200.25
tutAverageWordsPS,0.0,216.25
tutAverageWordsSessionPS,0.0,245.0
nDistinctPrincipleInSession,0.0,10.0
nPrincipleInSession,0.0,110.0
problemDifficuly,8.0,52.0
problemCompexity,2.0,4.0
problemCategory,0.0,1.0
pctCorrect,-1.0,1.0
pctOverallCorrect,-1.0,1.0
nCorrectKC,0.0,248.0
nIncorrectKC,0.0,190.0
pctCorrectKC,-1.0,1.0
pctOverallCorrectKC,-1.0,1.0
nCorrectKCSession,0.0,232.0
nIncorrectKCSession,0.0,170.0
pctCorrectSession,-1.0,1.0
pctCorrectKCSession,-1.0,1.0
pctOverallCorrectSession,-1.0,1.0
pctOverallCorrectKCSession,-1.0,1.0
nStepSinceLastWrong,0.0,292.0
nStepSinceLastWrongKC,0.0,228.0
nWEStepSinceLastWrong,0.0,265.0
nWEStepSinceLastWrongKC,0.0,204.0
nStepSinceLastWrongSession,0.0,292.0
nStepSinceLastWrongKCSession,0.0,228.0
nWEStepSinceLastWrongSession,0.0,265.0
nWEStepSinceLastWrongKCSession,0.0,204.0
timeSinceLastWrongStepKC,-28850.0,1287479.0
nCorrectPSStepSinceLastWrong,0.0,224.0
nCorrectPSStepSinceLastWrongKC,0.0,216.0
nCorrectPSStepSinceLastWrongKCSession,0.0,216.0
pctCorrectPrin,-1.0,1.0
pctCorrectPrinSession,-1.0,1.0
nStepSinceLastWrongPrin,0.0,142.0
nWEStepSinceLastWrongPrin,0.0,132.0
nStepSinceLastWrongPrinSession,0.0,142.0
nWEStepSinceLastWrongPrinSession,0.0,132.0
nCorrectPSStepSinceLastWrongPrin,0.0,83.0
nCorrectPSStepSinceLastWrongPrinSession,0.0,68.0
pctCorrectFirst,-1.0,1.0
nStepsSinceLastWrongFirst,0.0,24.0
nWEStepSinceLastWrongFirst,0.0,20.0
nCorrectPSStepSinceLastWrongFirst,0.0,23.0
pctCorrectLastProb,-1.0,1.0
pctCorrectLastProbPrin,-1.0,1.0
pctCorrectAdd2Select,-1.0,1.0
pctCorrectAdd3Select,-1.0,1.0
pctCorrectCompSelect,-1.0,1.0
pctCorrectDeMorSelect,-1.0,1.0
pctCorrectIndeSelect,-1.0,1.0
pctCorrectMutualSelect,-1.0,1.0
pctCorrectAdd2Apply,-1.0,1.0
pctCorrectAdd3Apply,-1.0,1.0
pctCorrectCompApply,-1.0,1.0
pctCorrectDeMorApply,-1.0,1.0
pctCorrectIndeApply,-1.0,1.0
pctCorrectMutualApply,-1.0,1.0
pctCorrectAdd2All,-1.0,1.0
pctCorrectAdd3All,-1.0,1.0
pctCorrectCompAll,-1.0,1.0
pctCorrectDeMorAll,-1.0,1.0
pctCorrectIndeAll,-1.0,1.0
pctCorrectMutualAll,-1.0,1.0
pctCorrectSelectMain,-1.0,1.0
nAdd2Prob,0.0,2.0
nAdd3Prob,0.0,1.0
nDeMorProb,0.0,3.0
nIndeProb,0.0,3.0
nCompProb,1.0,6.0
nMutualProb,0.0,2.0
